"","ZIP","CAPACITY","COUNT"
"691","08899",13.23,1
"692","08901",1161.621,179
"693","08902",4409.522,535
"694","08903",8.75,1
"695","08904",781.552,115
"696","08906",52.2,6
"697","08944",5.61,1
"698","092703",5.8,1
"699","092707",5.8,1
"700","092711",7.83,1
"701","094105",3.99,1
"702",NA,37.14,9
