"","ZIP","CAPACITY","COUNT","Zip_Income","Zip_Perc_White","Zip_Perc_Male"
"385","08053",8794.05,972,17624,84.5,48.8
"386","080533",7.82,1,NA,NA,NA
"387","08054",7839.32,895,17302,74,47.2
"388","08055",3215.37,279,10013,93.8,49.6
"389","08056",3031.16,267,1509,81.1,50.4
"390","08057",2313.933,240,7227,83.1,48.3
"391","08058",10.4,1,NA,NA,NA
"392","08059",1052.525,146,2127,96.4,48.7
"393","08060",6104.839,761,8885,62.4,49.4
"394","08061",1310.996,144,946,74.8,43
"395","08062",6963.422,610,5344,95,49.6
"396","08063",822.362,95,1117,92.1,49.1
"397","08064",33.28,4,30,74.8,35.9
"398","08065",576.93,82,2825,71.8,48.4
"399","08066",1802.755,228,3635,69.3,47.4
"400","08067",1595.64,152,587,85.6,52
"401","08068",1437.805,166,2812,54.7,46.8
"402","08069",3907.235,426,4720,65,48.2
"403","08070",5446.987,542,5000,91.1,48.4
"404","08071",1644.914,201,3544,92.4,46.5
"405","08072",213.975,22,100,77.7,35.5
"406","08073",6.24,1,46,65.7,46.3
"407","08074",73.49,7,0,100,46.7
"408","08075",4266.697,517,10947,81.4,47.5
"409","08077",3361.396,384,6898,90.6,49.2
"410","08078",1867.877,241,3149,81,47.1
"411","08079",5151.711,441,3870,60.7,47.2
"412","08080",11685.073,1222,13396,85.4,48.6
"413","08081",18407.235,2122,16791,53.2,48.9
"414","08082",3.6,1,NA,NA,NA
"415","08083",2807.76,328,3718,74,47.4
"416","08084",1690.561,203,2551,79.2,50.3
"417","08085",9812.13,1023,6755,78.5,48.5
"418","08086",1959.658,215,3158,81.8,49.3
"419","08087",15286.865,1909,10917,94.9,49.4
"420","08088",9326.237,845,9269,93.6,49.6
"421","08089",2402.78,224,1502,81.4,50.7
"422","08090",2539.776,320,2775,86.6,52.8
"423","08091",1882.376,211,1957,65.9,48.5
"424","08092",2233.41,208,1377,97.2,50.2
"425","08093",1713.435,223,3663,79.1,46.5
"426","08094",17273.046,1850,14659,79.8,50.3
"427","08095",257.74,22,17,100,0
"428","08096",7391.157,882,13717,73.7,47.4
