"","ZIP","CAPACITY","COUNT","Income","Perc_White","Perc_Male","Total_Occ_House","Adoption_Rate"
"196","07652",2714.604,261,8232,66.4,49.6,8232,0.0317055393586006
"197","07653",29.74,5,NA,NA,NA,NA,NA
"198","07656",70.06,7,3259,93.3,50.7,3259,0.0021478981282602
"199","07657",427.565,56,3827,63.4,48.6,3827,0.0146328717010713
"200","07660",658.598,104,4720,73.4,48.9,4720,0.0220338983050847
"201","07661",697.355,81,3867,69.1,47.6,3867,0.0209464701318852
"202","07662",672.845,98,2001,75.3,49,2001,0.0489755122438781
"203","07663",1743.315,278,5328,84.6,49.8,5328,0.0521771771771772
"204","07666",3090.121,464,13072,57.4,49.3,13072,0.0354957160342717
"205","07667",7.56,1,NA,NA,NA,NA,NA
"206","07670",437.371,50,4690,65.1,49.9,4690,0.0106609808102345
"207","07675",1489.652,157,10034,82.2,49.3,10034,0.0156468008770181
"208","07676",283.9,26,3320,92.6,48.8,3320,0.00783132530120482
"209","07677",216.72,19,1963,91.1,45.1,1963,0.00967906265919511
"210","07701",1980.359,254,9950,80.7,48.9,9950,0.0255276381909548
"211","07702",422.605,47,1434,94,45.8,1434,0.0327754532775453
"212","07704",265.467,33,1822,95.1,48,1822,0.0181119648737651
"213","077046",6.93,1,NA,NA,NA,NA,NA
"214","07710",44.17,4,NA,NA,NA,NA,NA
"215","07711",66.63,9,605,97,50.7,605,0.0148760330578512
"216","07712",3164.766,392,16726,63.2,48.9,16726,0.0234365658256606
"217","07713",9.25,1,NA,NA,NA,NA,NA
"218","07715",11.02,1,NA,NA,NA,NA,NA
"219","07716",971.565,122,3572,96.2,53.3,3572,0.0341545352743561
"220","07717",114.81,20,897,94.4,44.3,897,0.0222965440356745
"221","07718",1095.415,144,2355,91.5,50.3,2355,0.0611464968152866
"222","07719",3605.317,428,8395,94.6,49.6,8395,0.0509827278141751
"223","07720",350.7,54,2152,89.3,48.7,2152,0.025092936802974
"224","07721",618.91,80,1247,64.2,47.2,1247,0.0641539695268645
"225","07722",1292.179,108,3282,95.8,48.9,3282,0.0329067641681901
"226","07723",77.26,5,279,93.2,46.9,279,0.017921146953405
"227","07724",2687.253,314,8740,75.3,49.1,8740,0.0359267734553776
"228","07726",7203.364,747,15482,87.3,48.7,15482,0.0482495801576024
"229","07727",1641.672,167,2532,80,44.3,2532,0.065955766192733
"230","07728",9460.366,981,19954,80.7,49.1,19954,0.0491630750726671
"231","07730",3701.291,451,5821,92.7,47.4,5821,0.0774780965469851
"232","07731",11575.002,1299,12792,85.5,50.5,12792,0.101547842401501
"233","07732",350.194,54,2658,86.6,53,2658,0.0203160270880361
"234","07733",1975.765,181,5831,77.3,46.7,5831,0.0310409878237009
"235","07734",2366.5,317,4861,79,47.8,4861,0.0652129191524378
"236","07735",4820.167,638,7104,84,46.6,7104,0.0898085585585586
"237","07737",869.357,99,1435,87.5,48.8,1435,0.0689895470383275
"238","07738",670.488,74,2089,90.6,51.5,2089,0.035423647678315
"239","07739",463.873,52,2043,98.4,47.3,2043,0.0254527655408713
"240","07740",3001.196,406,12130,67.2,49.7,12130,0.0334707337180544
"241","07746",3916.397,407,5874,78.3,47.2,5874,0.0692883895131086
"242","07747",3692.79,417,11892,80.1,48.6,11892,0.0350655903128153
"243","07748",3441.254,416,9645,93.9,49.1,9645,0.0431311560393987
"244","07750",453.589,54,1414,96.5,47.7,1414,0.0381895332390382
"245","07751",3642.195,344,6222,72.8,46.8,6222,0.0552876888460302
"246","07752",37.74,2,NA,NA,NA,NA,NA
"247","07753",6942.578,914,15730,60.2,46.6,15730,0.0581055308328036
"248","07755",819.991,89,2222,91.2,49.9,2222,0.0400540054005401
"249","07756",35.645,8,1937,93.4,39.1,1937,0.00413009808982963
"250","07757",948.272,103,2238,94.8,48.6,2238,0.0460232350312779
"251","07758",1253.578,165,1572,89.9,48.9,1572,0.104961832061069
"252","07760",607.877,89,3128,95.8,50.1,3128,0.0284526854219949
"253","07762",798.615,121,4038,93.6,47.4,4038,0.0299653293709757
"254","07763",7.91,1,NA,NA,NA,NA,NA
"255","07764",1102.353,120,2485,91.3,46.1,2485,0.0482897384305835
"256","07765",44.7,4,NA,NA,NA,NA,NA
"257","07769",8.71,1,NA,NA,NA,NA,NA
"258","07801",2331.17,353,8123,64.8,50.8,8123,0.0434568509171488
"259","07802",5.5,1,NA,NA,NA,NA,NA
"260","07803",568.07,80,1257,79.1,49,1257,0.0636435958631663
"261","07806",7.35,1,NA,NA,NA,NA,NA
"262","07820",58.83,5,0,50,100,0,Inf
"263","07821",1218.566,120,3352,92.9,50.8,3352,0.035799522673031
"264","07822",187.58,21,279,89,51.4,279,0.0752688172043011
"265","07823",667.42,66,3331,94.9,49.1,3331,0.0198138697087962
